****************************************************************************************************************************************************
**                                                                                                                                                **
** CMG TimeSeries Property Names                                                                                                                  **
** Replace the string '$C' by actual component name                                                                                               **
**                                                                                                                                                **
** File Generated: 08/23/2018 06:01:52 PM                                                                                                         **
**                                                                                                                                                **
****************************************************************************************************************************************************

NAME                                                            DESCRIPTION
Flex_well - Heater Cable Number of cables                       Flex_well - Heater Cable Number of cables
Flex_well - Heater Cable Starting Position                      Flex_well - Heater Cable Number of cables
Flex_well - Heater Cable Swtich                                 Flex_well - Heater Cable Swtich
Flex_well - insulation conductivity                             Flex_well -insulation conductivity
Flex_well - insulation cp                                       Flex_well - insulation cp
Flex_well - insulation radius                                   Flex_well - insulation radius
Flex_well - max Nusselt number                                  Flex_well -  max Nusselt number
Flex_well - number of wells/flx                                 Flex_well - number of wells/flx
Flex_well - original WI                                         Flex_well - original WI
Flex_well - rel roughness                                       Flex_well - rel roughness
Flex_well - Replace well in FW pointer                          Flex_well - Replace well in FW pointer
Flex_well - well inner radius                                   Flex_well - well inner radius
Flex_well - well outer radius                                   Flex_well - well outer radius
Flex_well - well to flx well pointer                            Flex_well - well to flx well pointer
Flex_well - well wall heat capacity                             Flex_well - well wall heat capacity
Flex_well - well wall heat capacity coeff1                      Flex_well - well wall heat capacity coeff1
Flex_well - well wall heat capacity coeff2                      Flex_well - well wall heat capacity coeff2
Flex_well - well wall heat capacity coeff3                      Flex_well - well wall heat capacity coeff3
Flex_well - well wall heat capacity type                        Flex_well - well wall heat capacity type
Flex_well - well wall heat conductivity                         Flex_well -  wall heat conductivity
Flex_well - well wall heat conductivity coeff1                  Flex_well - well wall heat conductivity coeff1
Flex_well - well wall heat conductivity coeff2                  Flex_well - well wall heat conductivity coeff2
Flex_well - well wall heat conductivity coeff3                  Flex_well - well wall heat conductivity coeff3
Flex_well - well wall heat conductivity type                    Flex_well - well wall heat conductivity type
Flex_well - wellbore status                                     Flex_well - wellbore status
Flex_well Gas phase form flag                                   Flex_well Gas phase formulation flag
Flex_well Gas Saturation                                        Flex_well Gas Saturation
Flex_well Heater Cable Values                                   Flex_well Heater Cable Values
Flex_well Oil phase form flag                                   Flex_well Oil phase formulation flag
Flex_well Oil Saturation                                        Flex_well Oil saturation
Flex_well pointer - well                                        Flex_well pointer - well
Flex_well Pressure                                              Pressure in flex wellbore
Flex_well Temperature                                           FLEX_WELL BLOCK TEMPERATURE
Flex_well Water phase form flag                                 Flex_well Water phase formulation flag
Flex_well Water Saturation                                      Flex_well Water Saturation
Flow variable identifier for table                              Flow variable identifier for table
FLPT Gas Cum                                                    Gas cumulative potential well/group
FLPT Gas Rate                                                   Gas rate potential well/group
FLPT Liquid Cum                                                 Oil/water cumulative potential well/group
FLPT Liquid Rate                                                Oil/water rate potential well/group
FLPT PLMC                                                       Polymer mass cumulative potential well/group
FLPT PLMR                                                       Polymer mass rate potential well/group
FLPT SC                                                         Solvent cumulative potential well/group
FLPT SR                                                         Solvent rate potential well/group
Fluid Rate SC                                                   Total volumetric rate all phases - surface conditions
Fluid Rate SC - Instantaneous On-time                           Total volumetric rate all phases - surface conditions during well on-time
Fluid resistance in flex wellbore                               Fluid resistance  in flexible wellbore blocks
Fluid transm. multiplier in flex wellbore                       Fluid transm.  multiplierin flexible wellbore
Fluid transmissibility in flex wellbore                         Fluid transmissibility  in flexible wellbore
Fluid Volume Change SCTR                                        Fluid volume change per sector
flwsldn                                                         Flex_well Solid Concentration
flwwn                                                           Flex_well Water Phase Component mole fraction
flwxn                                                           Flex_well Oil Phase Component mole fraction
flwyn                                                           Flex_well Gas Phase Component mole fraction
for oil water (sorwwl), gas oil (sorgwl)                        for oil water (sorwwl), gas oil (sorgwl)
Formation emissivity                                            Formation emissivity
Formation thermal conductivity                                  Formation thermal conductivity
Formation volumetric heat capacity                              Formation volumetric heat capacity
Frac of ref volume for pmaint                                   Frac of reference volume for pmaint
Fraction IMPES %                                                Fraction IMPES in percentage
Fraction of full well                                           Fraction of full well
fraction of prod/inj from wells ...                             fraction of prod/inj from wells ...
Fracture/Matrix perforation flag                                Fracture/Matrix perforation flag
Free Gas Cum Prod SCTR                                          Free Gas Cumulative Production per sector
Free Gas Mol. Cum. Prod                                         Free Gas Molar Cumulative Production
Free Gas Mol. Cum. Prod$C                                       Free Gas Component Molar Cumulative Production$C
Free Gas Mol. Prod Rate                                         Free Gas Molar Production Rate
Free Gas Mol. Prod Rate$C                                       Free Gas Component Molar Production Rate$C
Free Gas Moles IPF                                              Free Gas Moles in Place Fluids per sector
Free Gas Moles IPF$C                                            Free Gas Component Moles in Place Fluids per sector$C
Free Gas Prod Rate SCTR                                         Free Gas Production Rate per sector
Free Gas Vol. Cum. Prod.                                        Free Gas Volumetric Cumulative Production
Free Gas Vol. Prod. Rate                                        Free Gas Volumetric Production Rate
Free Gas Volume IPF                                             Free Gas Volume in Place Fluids per sector
frequency in days for well testing                              frequency in days for well testing
Friction method                                                 Friction calculation method
fuel fraction for gas recycling                                 fuel fraction for gas recycling
fuel fraction for gas recycling - rg                            fuel fraction for gas recycling - reporting groups
fuel max rate for gas recycling                                 fuel max rate for gas recycling
fuel max rate for gas recycling - rg                            fuel max rate for gas recycling - reporting groups
Fundamental I location for well perf                            Fundamental I location for well perf
Fundamental I location for well perf iltiz                      Fundamental I location for well perf iltiz
Fundamental J location for well perf                            Fundamental J location for well perf
Gas Adsorbed Moles SCTR                                         Gas Adsorbed Moles per SCTR
Gas Adsorbed Moles SCTR$C                                       Gas Adsorbed Moles$C per SCTR
Gas Ave Sat SCTR                                                Average gas saturation per sector
Gas comp (mass frac)                                            Gas phase composition (mass frac)
Gas comp (mass frac)$C                                          Gas phase composition (mass frac)$C
Gas comp (mole frac)                                            Gas phase composition (mole frac)
Gas comp (mole frac)$C                                          Gas phase composition (mole frac)$C
Gas comp (vol frac)                                             Gas phase composition (vol frac)
Gas comp (vol frac)$C                                           Gas phase composition (vol frac)$C
Gas Component Moles SCTR                                        Gas Component Moles per SCTR
Gas Component Moles SCTR$C                                      Gas Component Moles$C per SCTR
Gas composition for wellbore hydraulic                          Gas composition for wellbore hydraulic
Gas Deliverabilty (GGASIP1), SC                                 Gas Deliverabilty (with all Well Constraints), SC
Gas Deliverabilty (GGASIP2) SC                                  Gas Deliverabilty (with Well Press Constraints) SC
Gas Deliverabilty (GGASIP3), SC                                 Gas Deliverabilty (Open Flow Potential), SC
Gas exp factor in PVT table                                     Gas expansion factor in PVT table
Gas Flow Cum RC LEASE                                           Gas cumulative RC flow per leaseline
Gas Flow Cum RC LEASE I-CON                                     Gas cumulative RC flow per leaseline i-con
Gas Flow Cum RC LEASE J-CON                                     Gas cumulative RC flow per leaseline j-con
Gas Flow Cum RC LEASE K-CON                                     Gas cumulative RC flow per leaseline k-con
Gas Flow Cum SC LEASE                                           Gas cumulative flow per leaseline
Gas Flow Cum SC LEASE I-CON                                     Gas cumulative flow per leaseline i-con
Gas Flow Cum SC LEASE J-CON                                     Gas cumulative flow per leaseline j-con
Gas Flow Cum SC LEASE K-CON                                     Gas cumulative flow per leaseline k-con
Gas Flow Rate RC LEASE                                          Gas RC flow rate per leaseline
Gas Flow Rate RC LEASE I-CON                                    Gas RC flow rate per leaseline i-con
Gas Flow Rate RC LEASE J-CON                                    Gas RC flow rate per leaseline j-con
Gas Flow Rate RC LEASE K-CON                                    Gas RC flow rate per leaseline k-con
Gas Flow Rate SC LEASE                                          Gas flow rate per leaseline
Gas Flow Rate SC LEASE I-CON                                    Gas flow rate per leaseline i-con
Gas Flow Rate SC LEASE J-CON                                    Gas flow rate per leaseline j-con
Gas Flow Rate SC LEASE K-CON                                    Gas flow rate per leaseline k-con
Gas fraction identifier for table                               Gas fraction identifier for table
Gas from Wat Mol. Cum. Prod                                     Gas from Wat Component Molar Cumulative Production$C
Gas from Wat Mol. Cum. Prod$C                                   Gas from Wat Component Molar Cumulative Production$C
Gas from Wat Mol. Prod Rate                                     Gas from Wat Molar Production Rate
Gas from Wat Mol. Prod Rate$C                                   Gas from Wat Component Molar Production Rate$C
Gas Inje Cum SCTR                                               Gas injection cumulative per sector
Gas Inje Mass Cum SCTR                                          Gas injection mass cumulative per sector
Gas Inje Mass Rate SCTR                                         Gas injection mass rate per sector
Gas Inje Rate SCTR                                              Gas injection rate per sector
Gas Inje SC Mol Cum SCTR                                        Gas SC molar injection cumulative per sector
Gas injection comp                                              Gas phase injection composition
Gas injection comp$C                                            Gas phase injection composition$C
Gas Injection Manifold Pressure                                 Gas Injection Manifold Pressure
Gas Injection Rate SC                                           Gas phase volume injection rate - surface conditions
Gas Injection Surface Pressure                                  Gas Injection Surface Pressure
Gas Lift port location open                                     Gas Lift port location open
Gas Lift port locations                                         Gas Lift port locations
Gas Mass Rate RC                                                Gas phase mass rate - reservoir conditions
Gas Mass Rate SC                                                Gas phase mass rate - surface conditions
Gas Mass Rate$C RC                                              Gas phase mass rate$C - reservoir conditions
Gas Mass Rate$C SC                                              Gas phase mass rate$C - surface conditions
Gas Mole Rate RC                                                Gas phase mole rate - reservoir conditions
Gas Mole Rate SC                                                Gas phase mole rate - surface conditions
Gas Mole Rate$C RC                                              Gas phase mole rate$C - reservoir conditions
Gas Mole Rate$C SC                                              Gas phase mole rate$C - surface conditions
Gas Moles IPF                                                   Gas Stream Moles in Place Fluids per sector
Gas Moles IPF$C                                                 Gas Stream Component Moles in Place Fluids per sector$C
Gas phase component surface vol rate                            Gas phase component surface vol rate
Gas phase well index RC                                         Gas phase well index - reservoir conditions
Gas phase well index SC                                         Gas phase well index - surface conditions
Gas Prod Cum SCTR                                               Gas production cumulative per sector
Gas Prod Mass Cum SCTR                                          Gas production mass cumulative per sector
Gas Prod Mass Rate SCTR                                         Gas production mass rate per sector
Gas Prod Rate SCTR                                              Gas production rate per sector
Gas Prod SC Mol Cum SCTR                                        Gas SC cumulative molar production per sector
Gas Rate RC                                                     Gas phase volume rate - reservoir conditions
Gas Rate SC                                                     Gas phase volume rate - surface conditions
Gas Rate SC - Instantaneous On-time                             Gas phase volume rate - surface conditions during well on-time
Gas Rate$C RC                                                   Gas phase component volume rate$C - reservoir conditions
Gas Rate$C SC                                                   Gas phase component volume rate$C - surface conditions
Gas Rate[Sum] RC                                                Gas phase component volume rate[Sum] - reservoir conditions
Gas Rate[Sum] SC                                                Gas phase component volume rate[Sum] - surface conditions
Gas Recovery Factor old SCTR                                    Gas recovery factor per sector old
Gas Recovery Factor SCTR                                        Gas recovery factor per sector
Gas sat in well block                                           Gas saturation in well block
Gas saturation in g-l rel perm table.                           Gas saturation in g-l rel perm table.
Gas Stream Well Mass Density SC                                 Gas stream well mass density - surface conditions
Gas Stream Well Molar Density SC                                Gas stream well molar density - surface conditions
Gas time-span-cumulatiion SC per well array                     Well gas accumulation within a network timestep - surface conditions 
gas trap component pointer                                      gas trap component pointer
Gas visc in PVT table                                           Gas viscosity in PVT table
Gas Volume Adsorbed SC SCTR                                     Gas Volume Adsorbed, SC, SCTR
Gas Volume RC SCTR                                              Gas volume reservoir conditions per sector
Gas Volume SC SCTR                                              Gas volume surface conditions per sector
Gas-oil ratio                                                   Gas-oil ratio
GEM Transmissibility                                            GEM Transmissibility
Geomech creep:  VISTN                                           Geomech creep:  VISTN
Geomech creep:  VIVEL                                           Geomech creep:  VIVEL
Geomech Fracture Shape - restart                                Geomech:  Fracture Shape - restart
Geomech:  Control info                                          Geomech:  Control integers and flags
Geomech:  DCDIM                                                 Geomech:  Dimension for dilation recompaction path
Geomech:  Element Nodal Coordinates - restart                   Element Nodal Coordinates
Geomech:  Element Nodes - restart                               Element Nodes
Geomech:  Equivalent 2D Element Nodes - restart                 Equivalent Nodes
Geomech:  From Counting Number to Element Node - restart        From Counting Number to Element Node
Geomech:  From Element Node to Counting Number - restart        From Element Node to Counting Number
Geomech:  GEFFST                                                Geomech:  GEFFST
Geomech:  GELOAD                                                Geomech:  GELOAD
Geomech:  GEPSTN                                                Geomech:  GEPSTN
Geomech:  GMSTATE                                               Geomech:  state of stress
Geomech:  GSTRNG                                                Geomech:  GSTRNG
Geomech:  GSTRSG                                                Geomech:  GSTRSG
Geomech:  GTDISP                                                Geomech:  GTDISP
Geomech:  GTLOAD                                                Geomech:  GTLOAD
Geomech:  GTREAC                                                Geomech:  GTREAC
Geomech:  IFFIX                                                 Geomech:  constrained element node
Geomech:  IFSHEAR - Restart                                     Geomech:  Shear Fracture Flag - Restart
Geomech:  IGESCR                                                Geomech:  IGESCR
Geomech:  MBFIX                                                 Geomech:  MBFIX
Geomech:  MBTOTV                                                Geomech:  MBTOTV
Geomech:  MBVFIX                                                Geomech:  MBVFIX
Geomech:  MCNTDF                                                Geomech:  MCNTDF
Geomech:  MDOFN                                                 Geomech:  MDOFN
Geomech:  MPLNE                                                 Geomech:  MPLNE
Geomech:  MPOINB                                                Geomech:  MPOINB
Geomech:  MPRESC                                                Geomech:  MPRESC
Geomech:  MSTATE                                                Geomech:  MSTATE
Geomech:  MXPOIN                                                Geomech:  MXPOIN
Geomech:  NBTOT                                                 Geomech:  NBTOT
Geomech:  NBTOTV                                                Geomech:  NBTOTV
Geomech:  NCMATX                                                Geomech:  NCMATX
Geomech:  NCRAK                                                 Geomech:  Dimension for fractured blocks
Geomech:  NCREEP                                                Geomech:  NCREEP
Geomech:  NENODE                                                Geomech:  NENODE
Geomech:  NEVAB                                                 Geomech:  NEVAB
Geomech:  NGAUST                                                Geomech:  NGAUST
Geomech:  NGMECH                                                Geomech:  NGMECH
Geomech:  NGREAC                                                Geomech:  NGREAC
Geomech:  NOFIX                                                 Geomech:  NOFIX
Geomech:  NRLOAD                                                Geomech:  NRLOAD
Geomech:  NSTRIN                                                Geomech:  NSTRIN
Geomech:  NVFIX                                                 Geomech:  NVFIX
Geomech:  PRESC                                                 Geomech:  PRESC
Geomech:  PRIDIG                                                Geomech:  Dimension for principle directions GEOGRID
Geomech:  PRIDIM                                                Geomech:  Dimension for principle directions
Geomech:  RIGIDOLD                                              Geomech:  RIGIDOLD
Geomech:  RIGIDPREV                                             Geomech:  RIGIDPREV
Geomech:  RLOADFO                                               Geomech:  RLOADFO
Geomech:  STRESTIN                                              Geomech:  STRESTIN
Geomech:  SZETA                                                 Geomech:  SZETA
Geomech:  SZETAV                                                Geomech:  SZETAV
Geomech:  TRMXF                                                 Geomech:  TRMXF
Geomech:  WISAV                                                 Variable Well Index, Geomechanic Option
Geomech: FIXIJKO                                                Geomech:  FIXIJKO
GG to KGGLST index                                              Grid group to KGGLST index
GG to KGGLST old                                                Grid group to KGGLST index - OBSOLETE
given node # it gives list location                             given node # it gives list location
G-Layer-to-PS Pointer                                           Global-Layer-to-Packed-Storage Pointer
Global Layers                                                   Number of Global Completion Layers
GLR calculation mode                                            GLR calculation mode
GN ordered by GG                                                Grid numbers ordered by grid group
GN ordered by GG old                                            Grid numbers ordered by grid group - OBSOLETE
GN to first fracture CS                                         Grid number to first fracture CS index
GN to grid group                                                Grid number to grid group
GN to last block CS                                             Grid number to last block CS index
GN to last block SS                                             Grid number to last block SS index
GN to well number                                               Grid number to well number
GOR calculation mode                                            GOR calculation mode
gosplt                                                          RC Gas-Oil split - oil, gas and co-injection
Grid Block connectivity of Newly added Blocks                   Grid Block connectivity of Newly added Blocks
Grid Block connectivity of Node based Grid                      Grid Block connectivity of Node Based Corner Point Grid
Grid centre wellbore rad                                        Radius of wellbore in centre of grid
Grid Node X Coord, Cart. Con.                                   Grid Node X Coordinates, Cartesian Connnectivity
Grid Node Y Coord, Cart. Con.                                   Grid Node Y Coordinates, Cartesian Connnectivity
Grid Node Z Coord, Cart. Con.                                   Grid Node Z Coordinates, Cartesian Connnectivity
Grid Nodes' Coords of Node based Grid                           Grid Nodes' Coordinates, Node Based Corner Point Grid
Grid number to DZ                                               Grid number to local Z direction
Grid number to NI                                               Grid number to no. of I direction blocks
Grid number to NJ                                               Grid number to no. of J direction blocks
Grid number to NK                                               Grid number to no. of K direction blocks
Grid number to type                                             Grid number to grid type
Grid of special val                                             Grid where special value is located
group autodrill flag                                            group autodrill flag
group control flag for nodes                                    group control flag for nodes
group control flag for wells                                    group control flag for wells
Group hydraulic table depths                                    Group hydraulic table depths
Group hydraulic table numbers                                   Group hydraulic table numbers
Group injection constraint action                               Group injection constraint violation action
Group Injection Cumulative Open On-time                         Cumulative Time Injectors have been open
Group injection max rate constraint action                      Group injection rate constraint violation action
Group injection pressure constraint action                      Group injection pressure constraint violation action
Group Production Cumulative Open On-time                        Cumulative Time Producers have been open
Hardening Parameter for Cap Model                               Hardening Parameter for Cap Model
HC Pore Volume SCTR                                             Hydrocarbon total pore volume per sector
HCPV Weighted Pressure                                          Average Field Pressure Weighted by Hydrocarbon Volume
HEADHD                                                          LAYER HEAD DENSITY
HEADLY                                                          LAYER HEAD
Heat Geometry 0 in flex wellbore                                Heat Geometry 0 in flex wellbore
Heat Geometry 1 in flex wellbore                                Heat Geometry 1 in flex wellbore
Heat Geometry 2 in flex wellbore                                Heat Geometry 2 in flex wellbore
Heat parameter, aquifer model                                   Heat parameter, aquifer model
Heat Transfer Rate Logical Flag1                                Heat Transfer Rate Logical Flag1
Heating value of separator gas stream                           Heating value - separator gas stream
HINJW                                                           Modified Injection Enthalpy
HINJW0                                                          Original Injection Enthalpy
History THTYPE change                                           History THTYPE change
History Transmissiblity Mult.                                   History Trans. Mult.
History Well Index                                              History Well Index
History Well Index for SETWI                                    History Well Index
HLRTHT(ng,nt) for entry ng, in table nt                         HLRTHT(ng,nt) for entry ng, in table nt
Hole radius                                                     Hole radius
HTWCUM                                                          Heater Well - accumulated heat
HTWI                                                            Heater Well - heat index flag
HTWRATE                                                         Heater Well - total heat rate
HTWRATEPL                                                       Heater Well - per-length heat rate
HTWTEMP                                                         Heater Well - wellbore temperature
Hydraulic radius - wellbore                                     Hydraulic radius for head calculation
I grid block index for vertical wells                           I grid block index for vertical wells
I index of special val                                          I of i,j,k where special value is
ICYGRP                                                          Group Cycling Control - Node number
ICYPRE                                                          Group Cycling Control - Ending cycle part
ICYPRS                                                          Group Cycling Control - Starting cycle part
ICYPRT                                                          Group Cycling Control - Current cycle part
ICYSTR                                                          Group Cycling Control - Stream IDs
IHTW2TB                                                         Heater Well - pointer
IHTWCALC                                                        Heater Well - rate calculation flag
Imbibition Pco (w-o table)                                      Imbibition oil capillary pressure in w-o rel perm table
Imbibition Pcog (l-g table)                                     Imbibition Gas Capillary pressure in l-g rel perm table.
Index for each phase, without mobility                          Index for each phase, without mobility
Index for yielding                                              Yield index of M-C or D-P function
Index of each variable in each FCDTABLE                         Index of each variable in each FCDTABLE
Initial Fluid Volume SCTR                                       Initial fluid volume per sector
Initial Mob Oil Sector In-place                                 Initial Mob Oil Sector In-place (itime=0)
Initial Sector In-places                                        Initial Sector In-places (itime=0)
Initial Sector In-places SC                                     IMEX Initial Sector In-places SC (itime=0)
Initial Solid Volume SCTR                                       Initial solid volume per sector
initial well constraint identifier                              initial well constraint identifier
initial well status                                             initial well status
injection flag for fluid ip                                     injection flag for fluid ip
injection group for production recycling/voidage                injection group for production recycling/voidage
injection group max pressure                                    injection group maximum pressure
injection group max rate                                        injection group maximum rate
injection group pressure constraint type                        injection group pressure constraint type
injection group rate constraint type                            injection group rate constraint type
Injection Pressure                                              Injection Pressure
Injection temperature                                           Injection temperature
INL Flow Cum SC LEASE                                           INL cumulative flow per leaseline
INL Flow Cum SC LEASE I-CON                                     INL cumulative flow per leaseline i-con
INL Flow Cum SC LEASE J-CON                                     INL cumulative flow per leaseline j-con
INL Flow Cum SC LEASE K-CON                                     INL cumulative flow per leaseline k-con
INL Flow Rate SC LEASE                                          INL flow rate per leaseline
INL Flow Rate SC LEASE I-CON                                    INL flow rate per leaseline i-con
INL Flow Rate SC LEASE J-CON                                    INL flow rate per leaseline j-con
INL Flow Rate SC LEASE K-CON                                    INL flow rate per leaseline k-con
INL from Gas Cum Prod SCTR                                      Intermediate Liquid Cumulative Production from Reservoir Gas per sector
INL from Gas Mol. C.P.                                          INL from Reservoir Gas Molar Cumulative Production
INL from Gas Mol. C.P.$C                                        INL from Reservoir Gas Component Molar Cumulative Production$C
INL from Gas Mol. P.R.                                          INL from Reservoir Gas Molar Production Rate
INL from Gas Mol. P.R.$C                                        INL from Reservoir Gas Component Molar Production Rate$C
INL from Gas Prod Rate SCTR                                     Intermediate Liquid Production Rate from Reservoir Gas per sector
INL from Gas Vol. C.P.                                          INL from Reservoir Gas Volumetric Cumulative Production
INL from Gas Vol. P.R.                                          INL from Reservoir Gas Volumetric Production Rate
INL from Oil Cum Prod SCTR                                      Intermediate Liquid Cumulative Production from Reservoir Oil per sector
INL from Oil Mol. C.P.                                          INL from Reservoir Oil Molar Cumulative Production
INL from Oil Mol. C.P.$C                                        INL from Reservoir Oil Component Molar Cumulative Production$C
INL from Oil Mol. P.R.                                          INL from Reservoir Oil Molar Production Rate
INL from Oil Mol. P.R.$C                                        INL from Reservoir Oil Component Molar Production Rate$C
INL from Oil Prod Rate SCTR                                     Intermediate Liquid Production Rate from Reservoir Oil per sector
INL from Oil Vol. C.P.                                          INL from Reservoir Oil Volumetric Cumulative Production
INL from Oil Vol. P.R.                                          INL from Reservoir Oil Volumetric Production Rate
INL Mass Rate SC                                                Intermediate Liquid mass rate - surface conditions
INL Mass Rate$C SC                                              Intermediate Liquid mass rate$C - surface conditions
INL Mole Rate SC                                                Intermediate Liquid mole rate - surface conditions
INL Mole Rate$C SC                                              Intermediate Liquid mole rate$C - surface conditions
INL Moles from Gas IPF                                          INL Moles from Reservoir Gas in Place Fluids per sector
INL Moles from Gas IPF$C                                        INL Comp. Moles from Reservoir Gas in Place Fluids per sector$C
INL Moles from Oil IPF                                          INL Moles from Reservoir Oil in Place Fluids per sector
INL Moles from Oil IPF$C                                        INL Comp. Moles from Reservoir Oil in Place Fluids per sector$C
INL Moles IPF                                                   INL Stream Moles in Place Fluids per sector
INL Moles IPF$C                                                 INL Stream Component Moles in Place Fluids per sector$C
INL Prod Cum SCTR                                               Intermediate liquid cumulative production per sector
INL Prod Rate SCTR                                              Intermediate Liquid production rate per sector
INL Rate SC                                                     Intermediate Liquid volume rate - surface conditions
INL Rate SC - Instantaneous On-time                             Intermediate Liquid volume rate - surface conditions during well on time
INL Recovery Factor old SCTR                                    Intermediate Liquid recovery factor per sector old
INL Recovery Factor SCTR                                        Intermediate Liquid recovery factor per sector
INL stream well index SC                                        Intermediate Liquid stream well index - surface conditions
INL Stream Well Mass Density SC                                 Intermediate Liquid stream well mass density - surface conditions
INL Stream Well Molar Density SC                                Intermediate Liquid stream well molar density - surface conditions
INL Vol. from Oil IPF                                           INL Volume from Reservoir Oil in Place Fluids per sector
INL Volume from Gas IPF                                         INL Volume from Reservoir Gas in Place Fluids per sector
INL Volume SC SCTR                                              INL volume surface conditions per sector
Inner Radius                                                    Inner Radius of Wormhole Zone
Inner tubing radius                                             Inner tubing radius
INS L temp distrib - SAM                                        Insulation L temperature distribution - SAM
INS temp distrib - SAM                                          Insulation temperature distribution - SAM
Inst max reservoir well prod phase rates                        Inst max reservoir well prod phase rates
Inst max surface well phase rates                               Inst max surface well phase rates
Inst Reservoir rate for layer ily, phase j                      Inst Reservoir rate for layer ily, phase j
Inst reservoir well phase injection rates                       Inst reservoir well phase injection rates
Inst reservoir well phase rates                                 Inst reservoir well phase rates
Inst Surface rate for layer ily, phase j                        Inst Surface rate for layer ily, phase j
Inst surface well phase injection rates                         Inst surface well phase injection rates
Inst surface well phase rates                                   Inst surface well phase rates
Insulation emissivity                                           Insulation emissivity
Insulation length                                               Insulation length
Insulation radius                                               Insulation radius
Insulation thermal conductivity                                 Insulation thermal conductivity
interval in days for well layer testing                         interval in days for well layer testing
ipflag                                                          ipflag
Irreducible so of  layer for the ow rel ..                      Connate so of  layer for the ow rel ..
Isoperm swso root for each layer                                Isoperm swso root or initial value for each layer
Isoperm swso root for each layer array                          Isoperm swso root or initial value for each layer
ISTTGR                                                          Group Cycling Control - Target Types
J grid block index for vertical wells                           J grid block index for vertical wells
J index of special val                                          J of i,j,k where special value is
K index of special val                                          K if i,j,k where special value is
K*Th Weighted Pressure                                          K*Th Weighted Pressure
KCSLST                                                          Current operating cycle flag for each CS group
KCSLST1                                                         CS group current operating cycle flag
Kickoff depth                                                   Kickoff depth
Krg (l-g table)                                                 Gas relative permeability in l-g rel perm table.
Kro (l-g table)                                                 Oil relative permeability in l-g rel perm table.
Kro in w-o rel perm table                                       Oil relative permeability in w-o rel perm table
Krw in w-o rel perm table                                       Water relative permeability in w-o rel perm table
LAPTAR                                                          Group Cycling Control - Apply Grp Tar Flag
Layer pressure correction term                                  Layer pressure correction term
Layer pressure correction term array                            Layer pressure correction term
Layer reopening potential                                       Layer reopening potential
Layer Shutin Status                                             Completion Layer Shutin Status
Layer status array                                              Layer status. = 0 Shutin; > 0 open
Layer status. = 0 Shutin; > 0 open                              Layer status. = 0 Shutin; > 0 open
Layer steam trap status                                         Layer steam trap status
Layer Temperature                                               LAYER TEMPERATURE - SR2
LBHPMX                                                          Group Cycling Control - Max. BHP Flag
LCSSIN                                                          CSS groups - injection cycle flag
LCSSPR                                                          CSS groups - production cycle flag
LCYACT                                                          Group Cycling Control - Active/Inactive Flag
LCYMOD                                                          Group Cycling Control - Modification Flag
LDPNDX                                                          Group Cycling Control - Depletion Index Prod. Flag
Lease line geometry array                                       Lease line geometry array
Lease line geometry length                                      Length of lease line geometry array
LEP Critical-Actual Rate                                        LEP Critical Rate Minus Actual Rate
LEP discharge coefficient for each well                         LEP discharge coefficient for each well
LEP injector flag for each well                                 LEP injector flag for each well
LEP well diameter for each well                                 LEP well diameter for each well
LGSTRI                                                          Group Cycling Control - Min. Gas Inj. Flag
Lift gas injection rate for each well                           Lift gas injection rate for each well
Lift Gas Rate SC                                                Lift Gas volume rate - surface conditions
Lift Gas Rate SC - Instantaneous On-time                        Lift Gas volume rate - surface conditions during well on time
Light Oil (API) Ave Vol Frac SCTR                               Average Light Oil (API) volume fraction per sector
Light Oil (API) Flow Cum RC LEASE                               Light Oil (API) cumulative RC flow per leaseline
Light Oil (API) Flow Cum RC LEASE I-CON                         Light Oil (API) cumulative RC flow per leaseline i-con
Light Oil (API) Flow Cum RC LEASE J-CON                         Light Oil (API) cumulative RC flow per leaseline j-con
Light Oil (API) Flow Cum RC LEASE K-CON                         Light Oil (API) cumulative RC flow per leaseline k-con
Light Oil (API) Flow Cum SC LEASE                               Light Oil (API) cumulative flow per leaseline
Light Oil (API) Flow Cum SC LEASE I-CON                         Light Oil (API) cumulative flow per leaseline i-con
Light Oil (API) Flow Cum SC LEASE J-CON                         Light Oil (API) cumulative flow per leaseline j-con
Light Oil (API) Flow Cum SC LEASE K-CON                         Light Oil (API) cumulative flow per leaseline k-con
Light Oil (API) Flow Rate RC LEASE                              Light Oil (API) RC flow rate per leaseline
Light Oil (API) Flow Rate RC LEASE I-CON                        Light Oil (API) RC flow rate per leaseline i-con
Light Oil (API) Flow Rate RC LEASE J-CON                        Light Oil (API) RC flow rate per leaseline j-con
Light Oil (API) Flow Rate RC LEASE K-CON                        Light Oil (API) RC flow rate per leaseline k-con
Light Oil (API) Flow Rate SC LEASE                              Light Oil (API) flow rate per leaseline
Light Oil (API) Flow Rate SC LEASE I-CON                        Light Oil (API) flow rate per leaseline i-con
Light Oil (API) Flow Rate SC LEASE J-CON                        Light Oil (API) flow rate per leaseline j-con
